player_name,match_count,role,status,source_url,source_title,cache_file
KA Pollard,570,AR,resolved,https://www.espncricinfo.com/cricketers/kieron-pollard-230559,"Kieron Pollard Profile - Cricket Player West Indies | Stats, Records, Video",tmp/player_role_searches/ka-pollard.json
AD Russell,488,AR,resolved,https://www.espncricinfo.com/cricketers/andre-russell-276298,"Andre Russell Profile - Cricket Player West Indies | Stats, Records, Video",tmp/player_role_searches/ad-russell.json
SP Narine,482,AR,resolved,https://www.icc-cricket.com/rankings/11229/sunil-narine,Sunil Philip Narine | Player Rankings,tmp/player_role_searches/sp-narine.json
